participant,trialPerBlock,runningTrialNumber,rating,rt,cueTime,image,music,cued,baselineImage,baselineMusic,baselineTarget,baselineDistractor,cuedImage,cuedMusic,baselinesMean,predRating,diffRatePred
4792,42,92,9,1569.19999998808,Pre,image15.jpg,Cut_jazz_19.mp3,Music,2.0,7.0,7.0,2.0,,Cut_jazz_19.mp3,4.5,7.0,2.0
4792,43,93,7,766.5,Pre,image39.jpg,Cut_jazz_7.mp3,Both,9.0,8.0,,,image39.jpg,Cut_jazz_7.mp3,8.5,8.5,-1.5
4792,44,94,1,1616.80000001192,Pre,image4.jpg,Cut_jazz_5.mp3,Both,1.0,1.0,,,image4.jpg,Cut_jazz_5.mp3,1.0,1.0,0.0
4792,45,95,1,914.699999988079,Pre,image47.jpg,Classical_4.mp3,Both,2.0,1.0,,,image47.jpg,Classical_4.mp3,1.5,1.5,-0.5
4792,46,96,1,673.599999964237,Pre,image3.jpg,Classical_15.mp3,Both,1.0,3.0,,,image3.jpg,Classical_15.mp3,2.0,2.0,-1.0
4792,47,97,1,445.599999964237,Pre,image12.jpg,Cut_jazz_2.mp3,Image,3.0,5.0,3.0,5.0,image12.jpg,,4.0,3.0,-2.0
4792,48,98,1,445.599999964237,Pre,image36.jpg,Cut_jazz_5.mp3,Music,1.0,1.0,1.0,1.0,,Cut_jazz_5.mp3,1.0,1.0,0.0
4792,49,99,1,759.899999976158,Pre,image10.jpg,Classical_19.mp3,Image,1.0,5.0,1.0,5.0,image10.jpg,,3.0,1.0,0.0
4792,50,100,1,1049.0,Pre,image34.jpg,Classical_7.mp3,Both,1.0,4.0,,,image34.jpg,Classical_7.mp3,2.5,2.5,-1.5
4792,51,101,2,1012.0,Pre,image52.jpg,Classical_1.mp3,Both,8.0,4.0,,,image52.jpg,Classical_1.mp3,6.0,6.0,-4.0
4792,52,102,7,794.899999976158,Pre,image39.jpg,Cut_jazz_5.mp3,Image,9.0,1.0,9.0,1.0,image39.jpg,,5.0,9.0,-2.0
4792,53,103,7,911.600000023842,Pre,image52.jpg,Classical_2.mp3,Music,8.0,2.0,2.0,8.0,,Classical_2.mp3,5.0,2.0,5.0
4792,54,104,3,985.800000011921,Pre,image34.jpg,Classical_8.mp3,Music,1.0,5.0,5.0,1.0,,Classical_8.mp3,3.0,5.0,-2.0
4792,55,105,3,868.400000035763,Pre,image12.jpg,Cut_jazz_1.mp3,Music,3.0,2.0,2.0,3.0,,Cut_jazz_1.mp3,2.5,2.0,1.0
