participant,trialPerBlock,runningTrialNumber,rating,rt,cueTime,image,music,cued,baselineImage,baselineMusic,baselineTarget,baselineDistractor,cuedImage,cuedMusic,baselinesMean,predRating,diffRatePred
4889,51,479,2,1136.89999999106,Post,image35.jpg,Cut_jazz_14.mp3,Both,1.0,2.0,,,image35.jpg,Cut_jazz_14.mp3,1.5,1.5,0.5
4889,52,480,5,760.70000000298,Post,image20.jpg,Cut_jazz_1.mp3,Both,4.0,3.0,,,image20.jpg,Cut_jazz_1.mp3,3.5,3.5,1.5
4889,53,481,7,867.600000008941,Post,image17.jpg,Cut_jazz_5.mp3,Both,8.0,4.0,,,image17.jpg,Cut_jazz_5.mp3,6.0,6.0,1.0
4889,54,482,3,1155.29999999702,Post,image15.jpg,Cut_jazz_10.mp3,Music,1.0,3.0,3.0,1.0,,Cut_jazz_10.mp3,2.0,3.0,0.0
4889,55,483,2,989.40000000596,Post,image4.jpg,Classical_2.mp3,Music,1.0,4.0,4.0,1.0,,Classical_2.mp3,2.5,4.0,-2.0
4889,56,484,2,809.5,Post,image10.jpg,Classical_15.mp3,Image,1.0,2.0,1.0,2.0,image10.jpg,,1.5,1.0,1.0
4889,57,485,2,466.20000000298,Post,image47.jpg,Classical_6.mp3,Music,1.0,2.0,2.0,1.0,,Classical_6.mp3,1.5,2.0,0.0
4889,4,486,2,3654.20000000298,Pre,image52.jpg,Cut_jazz_1.mp3,Music,4.0,3.0,3.0,4.0,,Cut_jazz_1.mp3,3.5,3.0,-1.0
4889,5,487,3,925.79999999702,Pre,image2.jpg,Classical_17.mp3,Image,2.0,2.0,2.0,2.0,image2.jpg,,2.0,2.0,1.0
4889,6,488,5,927.40000000596,Pre,image5.jpg,Cut_jazz_1.mp3,Both,6.0,3.0,,,image5.jpg,Cut_jazz_1.mp3,4.5,4.5,0.5
4889,7,489,2,1419.20000000298,Pre,image15.jpg,Classical_4.mp3,Music,1.0,4.0,4.0,1.0,,Classical_4.mp3,2.5,4.0,-2.0
4889,8,490,1,3528.09999999404,Pre,image35.jpg,Classical_7.mp3,Music,1.0,6.0,6.0,1.0,,Classical_7.mp3,3.5,6.0,-5.0
4889,9,491,3,2084.5,Pre,image2.jpg,Classical_15.mp3,Music,2.0,2.0,2.0,2.0,,Classical_15.mp3,2.0,2.0,1.0
4889,10,492,1,3000.29999999702,Pre,image15.jpg,Classical_1.mp3,Image,1.0,2.0,1.0,2.0,image15.jpg,,1.5,1.0,0.0
4889,11,493,3,2586.0,Pre,image39.jpg,Cut_jazz_16.mp3,Both,1.0,5.0,,,image39.jpg,Cut_jazz_16.mp3,3.0,3.0,0.0
4889,12,494,3,3788.5,Pre,image20.jpg,Classical_15.mp3,Image,4.0,2.0,4.0,2.0,image20.jpg,,3.0,4.0,-1.0
