"Prolific_ID","Participant.Device.Type","Trial.Number","Reaction.Time","Response","display","ImageStim","MusicStim","StimCued"
4801,"computer","57",60,"1","Pre","image15.jpg","Cut_jazz_14.mp3","Image"
4798,"computer","4",502,"3","Post","image34.jpg","Classical_1.mp3","Image"
4798,"computer","5",467,"7","Post","image17.jpg","Classical_18.mp3","Image"
4798,"computer","6",454,"2","Post","image35.jpg","Classical_4.mp3","Image"
4798,"computer","7",944,"3","Post","image52.jpg","Cut_jazz_5.mp3","Both"
4798,"computer","8",856,"1","Post","image4.jpg","Cut_jazz_1.mp3","Music"
4798,"computer","9",426,"6","Post","image20.jpg","Classical_6.mp3","Image"
4798,"computer","10",497,"3","Post","image12.jpg","Cut_jazz_16.mp3","Music"
4798,"computer","11",83,"4","Post","image4.jpg","Classical_19.mp3","Both"
4798,"computer","12",469,"9","Post","image2.jpg","Classical_8.mp3","Both"
4798,"computer","13",484,"8","Post","image14.jpg","Classical_18.mp3","Both"
4798,"computer","14",452,"7","Post","image1.jpg","Cut_jazz_16.mp3","Image"
4798,"computer","15",1045,"3","Post","image5.jpg","Cut_jazz_10.mp3","Music"
4798,"computer","16",428,"3","Post","image36.jpg","Cut_jazz_2.mp3","Both"
4798,"computer","17",405,"9","Post","image14.jpg","Classical_15.mp3","Music"
4798,"computer","18",417,"2","Post","image10.jpg","Cut_jazz_16.mp3","Both"
4798,"computer","19",480,"4","Post","image20.jpg","Classical_8.mp3","Music"
4798,"computer","20",479,"5","Post","image33.jpg","Classical_1.mp3","Music"
4798,"computer","21",943,"8","Post","image14.jpg","Classical_17.mp3","Image"
4798,"computer","22",855,"4","Post","image35.jpg","Classical_2.mp3","Music"
4798,"computer","23",89,"6","Post","image39.jpg","Cut_jazz_1.mp3","Both"
4798,"computer","24",506,"6","Post","image15.jpg","Classical_15.mp3","Image"
4798,"computer","25",932,"6","Post","image12.jpg","Cut_jazz_14.mp3","Both"
4798,"computer","26",507,"7","Post","image36.jpg","Classical_19.mp3","Music"
4798,"computer","27",836,"8","Post","image3.jpg","Classical_7.mp3","Music"
4798,"computer","28",406,"8","Post","image17.jpg","Classical_17.mp3","Music"
4798,"computer","29",436,"7","Post","image34.jpg","Classical_4.mp3","Music"
4798,"computer","30",993,"4","Post","image15.jpg","Classical_18.mp3","Music"
